"","FPKM.SRR25626852","FPKM.SRR25626853","FPKM.SRR25626854","FPKM.SRR25626855","FPKM.SRR25626856","FPKM.SRR25626857"
"LOC101205424",4.965215,5.89444,5.115164,13.027334,10.427919,9.968978
"LOC101205425",0,0,0,0,0,0
"LOC101205426",1.523697,1.197073,2.345004,0.586117,0.779764,0.331046
"LOC101205427",46.4933605321262,40.2740888259346,41.490895978972,27.3796898200935,29.5642749351636,28.1106283469626
"LOC101205428",36.02253,39.875702,33.844219,24.426899,25.353771,27.469166
"LOC101205429",0,0,0,0.398569,0.593207,0.451188
"LOC101205430",8.27435,7.49165,6.908372,37.711029,38.739399,39.071198
"LOC101205431",3.288116,6.262836,3.841032,3.588006,3.057725,3.761108
"LOC101205432",0.704385,0.817543,0.837772,3.603309,3.683727,3.070368
"LOC101205433",168.737747,157.593811,159.121765,124.924675,131.442001,133.951706
"LOC101205434",45.3881115322527,44.0239624879259,45.1002587416474,31.5286414197817,29.5699057952365,32.9302922947403
"LOC101205435",4.79276752723998,5.3844794092751,5.2156800567312,9.36982683520936,9.61368155020261,8.30307659657812
"LOC101205436",199.622578546082,187.915088562346,200.134624659931,136.651623480532,136.577980015278,129.668635942829
"LOC101205437",11.6519971745736,14.8013287787846,12.7407684701493,6.10960780223881,6.65709980463753,6.7802904173774
"LOC101205438",0,0,0,0,0,0
"LOC101205439",0.872466,0.945292,1.245006,3.756859,3.676511,4.313015
"LOC101205440",7.148529,6.548594,8.470371,13.54309,14.862031,13.342771
"LOC101205441",8.703698,12.449076,12.674616,28.003805,31.288801,23.420794
"LOC101205442",1.430465,2.003924,1.736157,3.135254,2.032899,2.335449
"LOC101205443",1.20817,1.824667,1.501265,1.734588,1.653337,1.836261
"LOC101205444",19.937159,19.714775,22.221373,14.973733,14.562588,14.063754
"LOC101205445",17.551645,19.404732,16.631962,8.728455,9.136896,8.511937
"LOC101205446",0.469675,0.353136,0.904312,0.242296,0.192787,0.205901
"LOC101205447",17.449957,13.255061,16.292646,24.626375,27.05545,23.305202
"LOC101205448",15.349473604878,15.8141467317073,16.2000846406504,20.0595034796748,20.4807487707317,19.8896730260163
"LOC101205449",27.623411,25.006664,21.698996,48.83712,50.932068,52.147327
"LOC101205450",0,0.344891,0.435859,0.823558,0.74956,0.891704
"LOC101205451",12.6760215241379,11.6093976887931,12.776547525431,6.85785289590517,6.61800084030172,7.05113444094828
"LOC101205452",3.203451,4.333731,3.92439,4.555932,4.875715,4.452989
"LOC101205453",14.064306,13.763102,13.309835,17.20261,18.130896,18.610817
"LOC101205454",14.338342,14.535537,21.064642,91.801231,79.827179,82.900604
"LOC101205455",36.4814210549223,34.5363788735751,34.7432400847668,35.431105988601,32.1051628611399,36.4040831649741
"LOC101205456",742.136963,704.36792,797.532349,485.797821,498.863403,452.925079
